year,region,population,fertility_rate,mortality_rate,migration_net,urbanization_rate,gdp_contribution,employment_agriculture,employment_industry,employment_services,age_0_14,age_15_64,age_65_plus,risk_score,category,indicator_name,value,unit
2024,Logone Occidental,2325067.0,5.95,10.42,-3958.0,0.334,2228.81,47.6,24.3,28.1,45.7,50.1,4.2,72.0,Stable,,,
2025,Logone Occidental,2420792.0,5.83,10.6,444.0,0.343,4356.14,46.7,14.0,39.3,40.1,55.0,4.9,61.0,Developing,,,
2026,Logone Occidental,2494855.0,5.68,10.46,-2359.0,0.361,914.46,46.5,27.6,25.9,50.0,46.0,4.1,3.0,Crisis,,,
2027,Logone Occidental,2609030.0,5.57,10.13,-2996.0,0.359,2959.91,42.3,18.2,39.5,49.9,46.0,4.1,17.0,Developing,,,
2028,Logone Occidental,2693005.0,5.77,9.9,-3231.0,0.378,473.38,68.2,3.5,28.3,45.8,49.4,4.8,10.0,Crisis,,,
2029,Logone Occidental,2785771.0,5.52,10.16,-5486.0,0.392,4226.38,65.1,5.5,29.4,44.1,53.0,2.8,55.0,Vulnerable,,,
2030,Logone Occidental,2881555.0,5.5,10.01,-2250.0,0.403,2307.67,43.9,17.0,39.1,46.1,51.3,2.7,32.0,Stable,,,
2010,Logone Oriental,705950.0,6.7,12.02,7756.0,0.201,2848.6,66.3,5.6,28.1,41.3,56.6,2.1,79.0,Vulnerable,,,
2011,Logone Oriental,725742.0,6.56,12.01,1167.0,0.214,4904.27,58.2,9.0,32.7,45.5,52.2,2.3,98.0,Developing,,,
2012,Logone Oriental,747356.0,6.41,12.13,-6900.0,0.211,2349.77,69.4,0.7,29.9,43.3,52.8,3.9,75.0,Stable,,,
2013,Logone Oriental,763792.0,6.24,11.8,3736.0,0.229,2422.41,60.0,16.5,23.4,41.9,56.0,2.1,5.0,Developing,,,
2014,Logone Oriental,779901.0,6.29,11.94,11908.0,0.244,730.87,49.9,23.7,26.4,40.9,55.6,3.4,86.0,Stable,,,
2015,Logone Oriental,796150.0,6.24,11.46,3070.0,0.254,1004.15,46.3,26.3,27.4,44.8,51.3,3.9,87.0,Developing,,,
2016,Logone Oriental,812874.0,6.21,11.57,2355.0,0.258,2046.1,43.1,22.1,34.7,41.8,54.5,3.7,17.0,Developing,,,
2017,Logone Oriental,834643.0,6.07,11.23,1091.0,0.275,3427.6,63.7,6.4,30.0,40.9,55.5,3.6,34.0,Developing,,,
2018,Logone Oriental,859405.0,6.3,10.9,-5679.0,0.281,1297.33,54.9,18.4,26.6,49.3,48.6,2.0,21.0,Stable,,,
2019,Logone Oriental,882153.0,5.98,11.0,-2961.0,0.286,949.53,66.9,11.5,21.6,45.2,51.5,3.2,36.0,Crisis,,,
2020,Logone Oriental,902566.0,6.09,11.0,2257.0,0.304,3620.44,56.1,14.4,29.5,48.4,49.0,2.6,26.0,Developing,,,
2021,Logone Oriental,925224.0,5.98,10.35,-2293.0,0.308,3092.04,48.7,19.7,31.6,41.5,55.0,3.4,3.0,Stable,,,
2022,Logone Oriental,941849.0,5.86,11.0,-2884.0,0.324,3825.12,57.9,12.7,29.4,44.1,52.8,3.0,49.0,Vulnerable,,,
2023,Logone Oriental,957504.0,5.79,11.0,-2542.0,0.324,4639.6,61.6,17.4,21.0,47.8,47.7,4.5,14.0,Vulnerable,,,
2024,Logone Oriental,976710.0,5.85,10.73,-6455.0,0.339,2982.7,60.5,10.5,29.0,47.1,48.2,4.7,38.0,Developing,,,
2025,Logone Oriental,1001432.0,5.95,10.18,-6052.0,0.342,2706.1,42.0,33.4,24.6,45.4,51.3,3.3,67.0,Vulnerable,,,
2026,Logone Oriental,1019354.0,5.66,10.5,6236.0,0.365,3964.13,44.6,29.2,26.2,42.5,53.3,4.2,68.0,Developing,,,
2027,Logone Oriental,1042474.0,5.7,10.37,5187.0,0.367,642.1,65.4,12.1,22.5,44.0,51.6,4.4,5.0,Developing,,,
2028,Logone Oriental,1073062.0,5.55,10.21,-675.0,0.389,3035.24,64.8,0.0,39.2,43.4,53.9,2.7,23.0,Developing,,,
2029,Logone Oriental,1099734.0,5.57,10.63,-1014.0,0.39,4373.41,68.0,0.7,31.3,47.0,48.3,4.8,72.0,Vulnerable,,,
2030,Logone Oriental,1120912.0,5.63,9.87,-2476.0,0.402,1727.52,49.3,26.1,24.5,46.1,50.8,3.1,53.0,Developing,,,
2010,Mayo-Kebbi Ouest,711411.0,6.41,12.05,5258.0,0.199,4622.51,54.0,16.4,29.6,49.2,47.1,3.8,59.0,Developing,,,
2011,Mayo-Kebbi Ouest,735973.0,6.42,11.36,-271.0,0.209,2944.88,59.0,20.8,20.3,46.6,50.8,2.5,84.0,Developing,,,
2012,Mayo-Kebbi Ouest,764850.0,6.51,11.84,-6698.0,0.221,1568.02,49.3,22.8,27.9,44.3,51.3,4.4,62.0,Developing,,,
2013,Mayo-Kebbi Ouest,802025.0,6.24,11.98,-13296.0,0.22,2842.24,44.7,31.7,23.6,48.6,46.5,4.8,32.0,Developing,,,
2014,Mayo-Kebbi Ouest,825726.0,6.31,11.79,6111.0,0.229,1344.05,45.9,24.0,30.1,46.0,51.0,3.0,67.0,Vulnerable,,,
2015,Mayo-Kebbi Ouest,862337.0,6.29,11.75,2101.0,0.249,1687.55,42.6,24.7,32.7,47.4,48.1,4.5,19.0,Developing,,,
2016,Mayo-Kebbi Ouest,888610.0,6.29,11.36,-2613.0,0.265,1371.17,51.4,16.8,31.8,42.7,53.4,3.9,38.0,Vulnerable,,,
2017,Mayo-Kebbi Ouest,924602.0,6.11,11.23,1287.0,0.271,2408.22,45.5,24.8,29.7,45.1,50.7,4.2,66.0,Vulnerable,,,
2018,Mayo-Kebbi Ouest,957840.0,6.04,11.12,-6442.0,0.281,1434.31,40.6,21.2,38.3,41.2,55.1,3.7,38.0,Stable,,,
2019,Mayo-Kebbi Ouest,991757.0,5.79,10.99,1571.0,0.288,1405.84,62.0,13.0,25.0,46.3,50.2,3.5,10.0,Crisis,,,
2020,Mayo-Kebbi Ouest,1024013.0,5.82,10.74,-3124.0,0.3,914.79,62.1,16.2,21.7,46.0,51.2,2.7,21.0,Vulnerable,,,
2021,Mayo-Kebbi Ouest,1064848.0,5.94,11.05,7504.0,0.309,4775.03,44.1,26.3,29.7,42.7,53.7,3.6,83.0,Developing,,,
2022,Mayo-Kebbi Ouest,1105878.0,5.9,10.67,-8447.0,0.325,3877.47,43.2,35.3,21.5,47.3,49.2,3.5,43.0,Developing,,,
2023,Mayo-Kebbi Ouest,1141012.0,5.84,10.64,-3294.0,0.333,2654.37,42.6,18.2,39.2,47.6,48.5,3.9,81.0,Vulnerable,,,
2024,Mayo-Kebbi Ouest,1187572.0,5.88,10.69,-350.0,0.332,1183.93,69.6,0.0,38.9,40.4,55.5,4.1,71.0,Crisis,,,
2025,Mayo-Kebbi Ouest,1222606.0,6.01,10.35,-1807.0,0.346,664.88,52.7,11.4,35.9,47.5,50.4,2.2,99.0,Developing,,,
2026,Mayo-Kebbi Ouest,1270085.0,5.56,10.5,-5212.0,0.366,3651.36,42.0,31.7,26.3,45.4,50.2,4.4,25.0,Vulnerable,,,
2027,Mayo-Kebbi Ouest,1298686.0,5.72,10.26,4979.0,0.371,101.16,45.6,26.8,27.7,49.3,48.5,2.2,46.0,Developing,,,
2028,Mayo-Kebbi Ouest,1344992.0,5.55,10.48,11494.0,0.378,4381.02,69.5,0.0,35.4,44.2,52.6,3.3,5.0,Vulnerable,,,
2029,Mayo-Kebbi Ouest,1393023.0,5.54,10.26,-2261.0,0.393,1458.6,67.3,11.8,20.9,41.1,55.7,3.2,68.0,Developing,,,
2030,Mayo-Kebbi Ouest,1454073.0,5.48,9.83,11548.0,0.397,918.47,69.7,5.6,24.6,49.4,46.6,3.9,74.0,Stable,,,
2010,Mayo-Kebbi Est,1495160.0,6.44,11.9,-840.0,0.198,3815.37,60.9,16.0,23.1,48.2,49.2,2.7,89.0,Developing,,,
2011,Mayo-Kebbi Est,1522883.0,6.37,11.93,-1812.0,0.213,734.62,66.7,0.0,39.1,48.6,47.0,4.4,40.0,Crisis,,,
2012,Mayo-Kebbi Est,1553157.0,6.5,11.75,510.0,0.223,636.4,66.8,0.0,39.8,40.6,54.7,4.6,62.0,Developing,,,
2013,Mayo-Kebbi Est,1591371.0,6.3,11.91,3409.0,0.239,1408.44,66.4,0.0,35.9,46.6,48.9,4.6,59.0,Stable,,,
2014,Mayo-Kebbi Est,1620915.0,6.23,11.41,2971.0,0.245,125.21,64.6,10.8,24.6,49.1,48.9,2.0,2.0,Vulnerable,,,
2015,Mayo-Kebbi Est,1659713.0,6.23,11.5,4088.0,0.243,4907.81,59.0,15.8,25.2,46.3,50.0,3.6,35.0,Stable,,,
2016,Mayo-Kebbi Est,1710071.0,6.18,11.16,-1994.0,0.264,951.39,63.1,0.0,38.9,41.7,54.0,4.3,17.0,Developing,,,
2017,Mayo-Kebbi Est,1757599.0,6.27,11.0,-2794.0,0.272,3815.49,40.7,38.8,20.4,43.2,53.3,3.5,51.0,Developing,,,
2018,Mayo-Kebbi Est,1806462.0,6.1,11.46,538.0,0.284,3886.83,46.9,30.5,22.6,48.7,46.4,4.9,56.0,Developing,,,
2019,Mayo-Kebbi Est,1846088.0,6.04,11.23,-6136.0,0.298,1443.65,69.5,2.3,28.2,48.9,48.4,2.7,61.0,Developing,,,
2020,Mayo-Kebbi Est,1894868.0,6.07,10.77,12820.0,0.294,1098.14,42.7,34.2,23.1,44.5,51.9,3.6,71.0,Vulnerable,,,
2021,Mayo-Kebbi Est,1942582.0,5.97,11.04,-448.0,0.317,674.81,43.8,22.5,33.7,44.3,53.1,2.6,60.0,Stable,,,
2022,Mayo-Kebbi Est,1974542.0,5.96,10.67,4978.0,0.319,454.99,51.8,18.6,29.6,46.0,51.1,2.9,45.0,Vulnerable,,,
2023,Mayo-Kebbi Est,2022489.0,5.94,10.87,-1616.0,0.33,2463.55,46.3,26.8,26.9,47.8,47.4,4.8,97.0,Developing,,,
2024,Mayo-Kebbi Est,2069357.0,5.73,10.4,-1405.0,0.349,4022.87,46.0,30.6,23.3,41.0,55.0,3.9,67.0,Vulnerable,,,
2025,Mayo-Kebbi Est,2126500.0,5.92,10.78,-7668.0,0.354,4682.49,68.4,0.0,32.5,47.8,48.3,3.8,7.0,Vulnerable,,,
2026,Mayo-Kebbi Est,2201329.0,5.82,10.38,7492.0,0.368,3007.07,59.5,10.9,29.6,46.2,50.9,3.0,45.0,Stable,,,
2027,Mayo-Kebbi Est,2249996.0,5.71,10.53,14825.0,0.37,3624.09,46.9,13.2,39.9,49.7,46.3,4.0,74.0,Developing,,,
2028,Mayo-Kebbi Est,2300279.0,5.46,10.3,-2099.0,0.386,3180.95,62.1,2.6,35.4,45.0,51.3,3.6,51.0,Developing,,,
2029,Mayo-Kebbi Est,2353268.0,5.72,10.01,5393.0,0.39,4513.44,52.7,21.8,25.5,45.9,49.3,4.7,12.0,Developing,,,
2030,Mayo-Kebbi Est,2425375.0,5.49,10.15,-3586.0,0.408,3199.45,51.2,18.6,30.3,44.1,53.7,2.2,41.0,Developing,,,
2010,Tandjilé,820347.0,6.65,12.36,-3428.0,0.201,3295.4,49.4,22.7,28.0,48.6,49.4,2.0,65.0,Vulnerable,,,
2011,Tandjilé,837017.0,6.42,11.48,1270.0,0.209,1318.7,58.5,7.4,34.1,41.7,55.8,2.5,37.0,Developing,,,
2012,Tandjilé,865700.0,6.55,11.84,-2338.0,0.229,4334.66,56.7,12.5,30.8,40.3,54.7,5.0,73.0,Developing,,,
2013,Tandjilé,889459.0,6.25,11.66,2241.0,0.227,826.88,69.6,0.0,39.3,40.0,55.1,4.9,50.0,Crisis,,,
2014,Tandjilé,914494.0,6.15,11.7,-10607.0,0.241,2708.0,43.8,33.6,22.7,41.4,53.7,4.8,8.0,Crisis,,,
2015,Tandjilé,941456.0,6.18,11.71,-819.0,0.253,4206.76,68.3,0.0,33.7,45.0,51.2,3.9,8.0,Vulnerable,,,
2016,Tandjilé,963593.0,6.16,11.46,3090.0,0.261,4151.51,60.0,8.4,31.5,43.5,54.0,2.5,64.0,Stable,,,
2017,Tandjilé,990361.0,6.18,11.36,2109.0,0.278,4404.73,52.1,21.3,26.5,46.7,48.9,4.4,82.0,Vulnerable,,,
2018,Tandjilé,1020436.0,6.18,11.12,-7345.0,0.276,3280.47,49.9,17.5,32.6,46.1,50.2,3.7,19.0,Developing,,,
2019,Tandjilé,1041188.0,6.02,10.84,-3004.0,0.291,3374.24,58.6,12.1,29.3,43.8,51.6,4.6,48.0,Vulnerable,,,
2020,Tandjilé,1066801.0,5.84,11.03,-12082.0,0.297,2792.13,62.4,3.3,34.3,45.2,50.3,4.5,80.0,Vulnerable,,,
2021,Tandjilé,1095430.0,5.99,10.86,2765.0,0.31,1358.21,48.5,25.3,26.1,48.0,48.4,3.6,16.0,Stable,,,
2022,Tandjilé,1121006.0,5.83,11.11,-5293.0,0.32,4311.14,64.0,12.3,23.7,43.0,52.7,4.4,61.0,Developing,,,
2023,Tandjilé,1152396.0,5.91,10.74,6820.0,0.331,4761.88,58.0,5.6,36.4,48.8,48.5,2.7,9.0,Vulnerable,,,
2024,Tandjilé,1182304.0,5.75,10.38,882.0,0.341,2827.52,47.7,26.3,26.0,47.3,48.1,4.6,39.0,Vulnerable,,,
2025,Tandjilé,1216942.0,5.67,10.94,-6189.0,0.353,4327.71,46.5,31.6,21.9,40.2,55.8,3.9,92.0,Developing,,,
2026,Tandjilé,1246666.0,5.57,10.55,-2735.0,0.361,794.69,48.2,19.8,31.9,46.8,49.9,3.3,39.0,Vulnerable,,,
2027,Tandjilé,1284128.0,5.77,10.44,-1367.0,0.366,3261.92,57.9,14.1,28.0,43.7,53.3,3.0,68.0,Developing,,,
2028,Tandjilé,1325786.0,5.65,10.39,980.0,0.377,1428.62,57.8,8.6,33.6,42.3,54.3,3.4,86.0,Vulnerable,,,
2029,Tandjilé,1374128.0,5.59,9.96,-278.0,0.393,958.98,60.7,15.3,24.0,45.4,52.4,2.3,55.0,Vulnerable,,,
2030,Tandjilé,1413263.0,5.63,9.76,-2669.0,0.393,846.84,69.8,0.0,38.5,45.4,50.1,4.5,21.0,Stable,,,
2010,Moyen-Chari,1107669.0,6.54,12.1,2911.0,0.195,1864.67,42.6,18.6,38.7,45.5,51.5,2.9,52.0,Developing,,,
2011,Moyen-Chari,1126869.0,6.49,11.79,8448.0,0.219,2016.11,55.0,17.0,27.9,45.4,50.7,3.9,30.0,Vulnerable,,,
2012,Moyen-Chari,1152921.0,6.43,11.67,4960.0,0.219,950.27,60.8,12.2,26.9,49.8,46.3,3.9,25.0,Developing,,,
2013,Moyen-Chari,1173677.0,6.15,11.66,-5117.0,0.232,4501.48,64.9,8.8,26.4,49.5,46.0,4.5,13.0,Developing,,,
2014,Moyen-Chari,1202222.0,6.31,11.24,-3232.0,0.226,617.76,59.2,16.5,24.3,46.2,49.9,4.0,83.0,Developing,,,
2015,Moyen-Chari,1230172.0,6.12,11.56,-395.0,0.243,3795.84,58.6,15.5,25.9,44.3,53.2,2.5,21.0,Stable,,,
2016,Moyen-Chari,1253195.0,6.17,11.32,852.0,0.261,4088.45,58.5,15.4,26.1,46.2,50.2,3.6,50.0,Stable,,,
2017,Moyen-Chari,1280511.0,6.14,11.5,-2535.0,0.264,2129.24,64.8,0.5,34.7,47.7,50.3,2.0,2.0,Stable,,,
2018,Moyen-Chari,1317171.0,6.06,11.55,3970.0,0.282,1685.15,65.0,2.4,32.6,42.0,55.8,2.2,32.0,Developing,,,
2019,Moyen-Chari,1338001.0,6.06,10.91,5982.0,0.289,580.6,54.6,22.4,23.0,43.2,52.5,4.2,99.0,Developing,,,
2020,Moyen-Chari,1361293.0,5.77,11.06,1035.0,0.306,2244.26,47.6,15.5,36.8,40.4,54.9,4.7,21.0,Vulnerable,,,
2021,Moyen-Chari,1383316.0,5.71,10.88,-7547.0,0.309,4458.02,53.5,8.8,37.6,41.1,54.0,5.0,87.0,Vulnerable,,,
2022,Moyen-Chari,1410921.0,5.92,10.53,-4858.0,0.326,3340.72,45.6,31.0,23.5,41.0,55.0,4.0,96.0,Stable,,,
2023,Moyen-Chari,1437020.0,5.77,10.67,4742.0,0.33,3934.18,46.8,13.6,39.5,46.7,51.3,2.0,36.0,Vulnerable,,,
2024,Moyen-Chari,1472932.0,5.92,10.48,192.0,0.347,3765.56,64.4,2.5,33.1,41.3,55.7,3.0,40.0,Developing,,,
2025,Moyen-Chari,1518267.0,5.73,10.34,-10828.0,0.355,902.05,48.2,13.2,38.6,46.8,49.8,3.5,21.0,Developing,,,
2026,Moyen-Chari,1553647.0,5.73,10.57,-4068.0,0.366,3669.6,63.3,3.6,33.1,41.8,54.6,3.6,89.0,Crisis,,,
2027,Moyen-Chari,1586401.0,5.69,10.17,-2643.0,0.373,2578.68,65.2,0.1,34.7,45.4,50.8,3.8,56.0,Vulnerable,,,
2028,Moyen-Chari,1622247.0,5.51,10.16,5087.0,0.381,4077.59,62.3,0.1,37.6,42.8,54.6,2.6,64.0,Vulnerable,,,
2029,Moyen-Chari,1647808.0,5.58,9.82,3599.0,0.397,1021.32,50.7,13.7,35.7,45.5,52.4,2.0,90.0,Vulnerable,,,
2030,Moyen-Chari,1690514.0,5.58,10.23,3920.0,0.399,2560.05,43.7,28.6,27.7,46.4,49.2,4.3,99.0,Stable,,,
2010,Mandoul,303892.0,6.46,11.92,-7222.0,0.192,4383.89,55.3,10.2,34.5,41.0,56.3,2.7,4.0,Stable,,,
2011,Mandoul,313798.0,6.42,11.84,327.0,0.215,830.1,60.9,4.2,34.9,49.8,47.6,2.6,64.0,Developing,,,
2012,Mandoul,317856.0,6.31,11.74,-4388.0,0.224,1919.97,41.9,22.1,36.0,47.7,48.1,4.2,45.0,Stable,,,
2013,Mandoul,324124.0,6.58,11.81,-4717.0,0.232,4900.27,45.0,21.0,34.0,45.9,50.4,3.8,70.0,Developing,,,
2014,Mandoul,328387.0,6.33,11.57,-2330.0,0.232,4376.38,65.3,11.0,23.7,48.0,48.6,3.4,5.0,Vulnerable,,,
2015,Mandoul,334167.0,6.26,11.45,-4996.0,0.25,165.67,48.5,30.6,20.9,40.4,56.8,2.8,55.0,Crisis,,,
2016,Mandoul,342221.0,6.12,11.22,-1519.0,0.268,3905.88,42.0,28.3,29.8,40.3,57.5,2.2,57.0,Developing,,,
2017,Mandoul,350911.0,6.08,11.27,-1184.0,0.272,727.14,66.5,5.7,27.9,48.3,47.4,4.4,14.0,Vulnerable,,,
2018,Mandoul,360907.0,5.99,11.31,-6665.0,0.292,4862.83,58.3,14.8,27.0,41.1,56.4,2.5,68.0,Developing,,,
2019,Mandoul,368614.0,5.99,11.17,175.0,0.288,2758.47,63.8,5.3,31.0,46.1,51.2,2.7,98.0,Developing,,,
2020,Mandoul,373426.0,6.04,11.18,-11814.0,0.295,3289.77,56.4,22.4,21.2,45.1,50.5,4.4,10.0,Crisis,,,
2021,Mandoul,380883.0,6.1,11.07,-1813.0,0.318,3795.13,40.5,36.9,22.5,46.6,50.9,2.5,14.0,Developing,,,
2022,Mandoul,389038.0,5.93,10.79,-305.0,0.316,4555.18,56.2,13.9,30.0,41.1,55.0,4.0,89.0,Developing,,,
2023,Mandoul,396586.0,5.76,10.59,-2561.0,0.329,3811.66,48.3,25.5,26.2,46.4,51.0,2.6,82.0,Stable,,,
2024,Mandoul,403086.0,5.9,10.73,4169.0,0.338,4540.1,48.3,12.0,39.7,41.4,56.0,2.6,8.0,Vulnerable,,,
2025,Mandoul,409237.0,5.79,10.91,-5337.0,0.35,4838.92,52.5,7.8,39.7,46.7,49.4,3.9,4.0,Crisis,,,
2026,Mandoul,420326.0,5.74,10.25,-2510.0,0.363,1957.23,69.2,4.1,26.7,43.0,52.3,4.8,6.0,Vulnerable,,,
2027,Mandoul,428110.0,5.45,10.27,6529.0,0.37,4158.42,50.1,26.5,23.5,47.1,48.4,4.5,62.0,Vulnerable,,,
2028,Mandoul,431893.0,5.69,10.17,-3920.0,0.383,3107.51,53.1,15.4,31.5,47.4,48.2,4.4,94.0,Crisis,,,
2029,Mandoul,438595.0,5.58,9.86,5938.0,0.388,956.92,65.7,9.8,24.5,48.4,48.8,2.8,63.0,Developing,,,
2030,Mandoul,447824.0,5.47,10.09,-2971.0,0.399,3839.46,52.2,12.6,35.2,49.0,48.3,2.7,9.0,Vulnerable,,,
2010,Salamat,341521.0,6.39,11.74,-2896.0,0.195,2122.53,64.1,6.3,29.6,40.2,56.6,3.3,14.0,Crisis,,,
2011,Salamat,352277.0,6.52,11.81,2565.0,0.209,3794.41,64.1,15.5,20.4,49.6,46.2,4.2,19.0,Vulnerable,,,
2012,Salamat,364505.0,6.34,11.62,459.0,0.211,3031.95,48.9,25.1,26.0,47.4,50.4,2.1,68.0,Vulnerable,,,
2013,Salamat,375999.0,6.31,11.86,2795.0,0.241,4206.95,48.6,22.9,28.6,42.7,53.0,4.4,85.0,Developing,,,
2014,Salamat,386669.0,6.32,11.8,2505.0,0.241,2635.49,52.9,20.7,26.3,44.3,51.3,4.3,19.0,Vulnerable,,,
2015,Salamat,401370.0,6.46,11.28,6109.0,0.259,3542.91,47.1,22.6,30.2,41.0,55.8,3.2,45.0,Crisis,,,
2016,Salamat,412823.0,6.11,11.47,-98.0,0.257,4468.25,40.1,39.1,20.8,46.0,49.2,4.7,83.0,Developing,,,
2017,Salamat,423255.0,6.01,11.28,-7523.0,0.274,1114.26,55.5,24.4,20.1,40.1,57.3,2.7,43.0,Vulnerable,,,
2018,Salamat,436573.0,5.92,10.91,-1583.0,0.277,1461.33,64.5,9.8,25.7,48.2,48.2,3.6,59.0,Developing,,,
2019,Salamat,450735.0,6.05,11.32,-1995.0,0.287,2033.42,52.7,19.1,28.2,49.1,46.8,4.1,12.0,Vulnerable,,,
2020,Salamat,467986.0,5.9,11.16,2675.0,0.304,4021.74,59.9,18.3,21.8,46.0,50.4,3.6,97.0,Developing,,,
2021,Salamat,480617.0,6.06,10.74,8910.0,0.305,3267.61,66.6,1.4,32.0,45.0,52.6,2.4,73.0,Vulnerable,,,
2022,Salamat,497401.0,5.96,10.81,-3723.0,0.312,2481.4,57.3,21.8,20.9,41.2,55.1,3.7,95.0,Developing,,,
2023,Salamat,512217.0,5.95,10.63,-3693.0,0.329,2758.42,65.9,2.3,31.8,42.3,54.6,3.2,67.0,Vulnerable,,,
