Region,Year,Age_Group,Population_Total
Batha,2026,10-14,2403685000.0
Batha,2026,15-19,19032.0
Batha,2026,20-24,0.0
Batha,2026,25-29,419343.0
Batha,2026,30-34,103003.0
Batha,2027,0-4,499486.0
Batha,2027,5-9,163581.0
Batha,2027,10-14,429658.0
Batha,2027,15-19,0.0
Batha,2027,20-24,117576.0
Batha,2027,25-29,256063.0
Batha,2027,30-34,196325.0
Batha,2028,0-4,142510.0
Batha,2028,5-9,296233.0
Batha,2028,10-14,277704.0
Batha,2028,15-19,183258.0
Batha,2028,20-24,484157.0
Batha,2028,25-29,420025.0
Batha,2028,30-34,185495.0
Batha,2029,0-4,226521.0
Batha,2029,5-9,60345.0
Batha,2029,10-14,11632.0
Batha,2029,15-19,348703.0
Batha,2029,20-24,163152.0
Batha,2029,25-29,339285.0
Batha,2029,30-34,192001.0
Batha,2030,0-4,96690.0
Batha,2030,5-9,394408.0
Batha,2030,10-14,153283.0
Batha,2030,15-19,164702.0
Batha,2030,20-24,626270000.0
Batha,2030,25-29,175490.0
Batha,2030,30-34,161450.0
Batha,2031,0-4,0.0
Batha,2031,5-9,180665.0
Batha,2031,10-14,304704.0
Batha,2031,15-19,164762.0
Batha,2031,20-24,409769.0
Batha,2031,25-29,456519.0
Batha,2031,30-34,274952.0
Batha,2032,0-4,297625.0
Batha,2032,5-9,276161.0
Batha,2032,10-14,224343.0
Batha,2032,15-19,267515.0
Batha,2032,20-24,75866.0
Batha,2032,25-29,421530.0
Batha,2032,30-34,429514.0
Batha,2033,0-4,47317.0
Batha,2033,5-9,159977.0
Batha,2033,10-14,392153.0
Batha,2033,15-19,247538.0
Batha,2033,20-24,444510.0
Batha,2033,25-29,265257.0
Batha,2033,30-34,153700000.0
Batha,2034,0-4,75268.0
Batha,2034,5-9,0.0
Batha,2034,10-14,257049.0
Batha,2034,15-19,0.0
Batha,2034,20-24,462992.0
Batha,2034,25-29,41090.0
Batha,2034,30-34,85568.0
Batha,2035,0-4,304153.0
Batha,2035,5-9,248029.0
Batha,2035,10-14,311435.0
Batha,2035,15-19,107266.0
Batha,2035,20-24,37192.0
Batha,2035,25-29,253457.0
Batha,2035,30-34,446105.0
Batha,2036,0-4,26248.0
Batha,2036,5-9,277722.0
Batha,2036,10-14,229863.0
Batha,2036,15-19,190398.0
Batha,2036,20-24,415092.0
Batha,2036,25-29,387219.0
Batha,2036,30-34,434245.0
Batha,2037,0-4,0.0
Batha,2037,5-9,129033.0
Batha,2037,10-14,410509.0
Batha,2037,15-19,263509.0
Batha,2037,20-24,471463.0
Batha,2037,25-29,231651.0
Batha,2037,30-34,0.0
Batha,2038,0-4,1096900000.0
Batha,2038,5-9,365783.0
Batha,2038,10-14,293774.0
Batha,2038,15-19,445896.0
Batha,2038,20-24,192341.0
Batha,2038,25-29,0.0
Batha,2038,30-34,203709.0
Batha,2039,0-4,696410000.0
Batha,2039,5-9,206948.0
Batha,2039,10-14,181408.0
Batha,2039,15-19,88417.0
Batha,2039,20-24,253127.0
Batha,2039,25-29,249348.0
Batha,2039,30-34,64494.0
Borkou,1990,0-4,11571.0
Borkou,1990,5-9,334582.0
Borkou,1990,10-14,188012.0
Borkou,1990,15-19,131692.0
Borkou,1990,20-24,448436.0
Borkou,1990,25-29,342737.0
Borkou,1990,30-34,22441.0
Borkou,1991,0-4,42216.0
Borkou,1991,5-9,149796.0
Borkou,1991,10-14,74139.0
Borkou,1991,15-19,31548.0
Borkou,1991,20-24,263871.0
Borkou,1991,25-29,0.0
Borkou,1991,30-34,406402.0
Borkou,1992,0-4,100034.0
Borkou,1992,5-9,95581.0
Borkou,1992,10-14,225227.0
Borkou,1992,15-19,396108.0
Borkou,1992,20-24,250782.0
Borkou,1992,25-29,100976.0
Borkou,1992,30-34,32604.0
Borkou,1993,0-4,491552.0
Borkou,1993,5-9,192146.0
Borkou,1993,10-14,372825.0
Borkou,1993,15-19,493404.0
Borkou,1993,20-24,45252.0
Borkou,1993,25-29,449157.0
Borkou,1993,30-34,125708.0
Borkou,1994,0-4,488745.0
Borkou,1994,5-9,236790.0
Borkou,1994,10-14,355818.0
Borkou,1994,15-19,1156635000.0
Borkou,1994,20-24,350379.0
Borkou,1994,25-29,34365.0
Borkou,1994,30-34,38818.0
Borkou,1995,0-4,67242.0
Borkou,1995,5-9,49255.0
Borkou,1995,10-14,297733.0
Borkou,1995,15-19,133149.0
Borkou,1995,20-24,130730.0
Borkou,1995,25-29,301494.0
Borkou,1995,30-34,163557.0
Borkou,1996,0-4,324773.0
Borkou,1996,5-9,14187.0
Borkou,1996,10-14,381049.0
Borkou,1996,15-19,349734.0
Borkou,1996,20-24,50219.0
Borkou,1996,25-29,161990.0
Borkou,1996,30-34,447672.0
Borkou,1997,0-4,184749.0
Borkou,1997,5-9,417363.0
Borkou,1997,10-14,369032.0
Borkou,1997,15-19,1560725000.0
Borkou,1997,20-24,459877.0
Borkou,1997,25-29,340893.0
Borkou,1997,30-34,51105.0
Borkou,1998,0-4,160924.0
Borkou,1998,5-9,420287.0
Borkou,1998,10-14,326794.0
Borkou,1998,15-19,405375.0
Borkou,1998,20-24,412636.0
Borkou,1998,25-29,111330.0
Borkou,1998,30-34,451989.0
Borkou,1999,0-4,0.0
Borkou,1999,5-9,45550.0
Borkou,1999,10-14,399917.0
Borkou,1999,15-19,171240.0
Borkou,1999,20-24,194143.0
Borkou,1999,25-29,367414.0
Borkou,1999,30-34,180738.0
Borkou,2000,0-4,79262.0
Borkou,2000,5-9,0.0
Borkou,2000,10-14,100296.0
Borkou,2000,15-19,356994.0
Borkou,2000,20-24,0.0
Borkou,2000,25-29,316409.0
Borkou,2000,30-34,219842.0
Borkou,2001,0-4,181691.0
Borkou,2001,5-9,17458.0
Borkou,2001,10-14,359556.0
Borkou,2001,15-19,12430.0
Borkou,2001,20-24,172174.0
Borkou,2001,25-29,297689.0
Borkou,2001,30-34,263834.0
Borkou,2002,0-4,211190.0
Borkou,2002,5-9,417036.0
Borkou,2002,10-14,249972.0
Borkou,2002,15-19,445800.0
Borkou,2002,20-24,139267.0
Borkou,2002,25-29,116849.0
Borkou,2002,30-34,309765.0
Borkou,2003,0-4,484256.0
Borkou,2003,5-9,375744.0
Borkou,2003,10-14,70990.0
Borkou,2003,15-19,113256.0
Borkou,2003,20-24,452503.0
Borkou,2003,25-29,133293.0
Borkou,2003,30-34,0.0
Borkou,2004,0-4,163480.0
Borkou,2004,5-9,393447.0
Borkou,2004,10-14,2400820000.0
Borkou,2004,15-19,359657.0
Borkou,2004,20-24,261847.0
Borkou,2004,25-29,486285.0
Borkou,2004,30-34,312996.0
Borkou,2005,0-4,346545.0
Borkou,2005,5-9,273790.0
Borkou,2005,10-14,223908.0
Borkou,2005,15-19,276827.0
Borkou,2005,20-24,307975.0
Borkou,2005,25-29,270859.0
Borkou,2005,30-34,343072.0
Borkou,2006,0-4,183539.0
Borkou,2006,5-9,433406.0
Borkou,2006,10-14,164202.0
Borkou,2006,15-19,350009.0
Borkou,2006,20-24,258189.0
Borkou,2006,25-29,425895.0
Borkou,2006,30-34,0.0
Borkou,2007,0-4,298845.0
Borkou,2007,5-9,259821.0
Borkou,2007,10-14,135675.0
Borkou,2007,15-19,121237.0
Borkou,2007,20-24,15402.0
Borkou,2007,25-29,51489.0
Borkou,2007,30-34,352924.0
Borkou,2008,0-4,0.0
Borkou,2008,5-9,96703.0
Borkou,2008,10-14,211452.0
Borkou,2008,15-19,0.0
Borkou,2008,20-24,133872.0
Borkou,2008,25-29,1039265000.0
Borkou,2008,30-34,229788.0
Borkou,2009,0-4,471821.0
Borkou,2009,5-9,52710.0
Borkou,2009,10-14,376218.0
Borkou,2009,15-19,285018.0
Borkou,2009,20-24,164354.0
Borkou,2009,25-29,126431.0
Borkou,2009,30-34,458785.0
Borkou,2010,0-4,392285.0
Borkou,2010,5-9,146934.0
Borkou,2010,10-14,367445.0
Borkou,2010,15-19,43483.0
Borkou,2010,20-24,471674.0
Borkou,2010,25-29,397784.0
Borkou,2010,30-34,497177.0
Borkou,2011,0-4,266149.0
Borkou,2011,5-9,0.0
Borkou,2011,10-14,461118.0
Borkou,2011,15-19,356052.0
Borkou,2011,20-24,307526.0
Borkou,2011,25-29,216094.0
Borkou,2011,30-34,43951.0
Borkou,2012,0-4,211176.0
Borkou,2012,5-9,32020.0
Borkou,2012,10-14,355189.0
Borkou,2012,15-19,178656.0
Borkou,2012,20-24,103822.0
Borkou,2012,25-29,369733.0
Borkou,2012,30-34,440439.0
Borkou,2013,0-4,116738.0
Borkou,2013,5-9,394361.0
Borkou,2013,10-14,449743.0
Borkou,2013,15-19,258837.0
Borkou,2013,20-24,29827.0
Borkou,2013,25-29,229674.0
Borkou,2013,30-34,322755.0
Borkou,2014,0-4,77124.0
Borkou,2014,5-9,99514.0
Borkou,2014,10-14,134952.0
Borkou,2014,15-19,425364.0
Borkou,2014,20-24,205234.0
Borkou,2014,25-29,459267.0
Borkou,2014,30-34,252021.0
Borkou,2015,0-4,55146.0
Borkou,2015,5-9,162234.0
Borkou,2015,10-14,450779.0
Borkou,2015,15-19,443181.0
Borkou,2015,20-24,158042.0
Borkou,2015,25-29,278211.0
Borkou,2015,30-34,437281.0
Borkou,2016,0-4,280385.0
Borkou,2016,5-9,482081.0
Borkou,2016,10-14,80026.0
Borkou,2016,15-19,51975.0
Borkou,2016,20-24,0.0
Borkou,2016,25-29,258670.0
Borkou,2016,30-34,52611.0
Borkou,2017,0-4,226348.0
Borkou,2017,5-9,177408.0
Borkou,2017,10-14,45381.0
Borkou,2017,15-19,158220.0
Borkou,2017,20-24,40819.0
Borkou,2017,25-29,426467.0
Borkou,2017,30-34,305034.0
Borkou,2018,0-4,208237.0
Borkou,2018,5-9,27360.0
Borkou,2018,10-14,139037.0
Borkou,2018,15-19,242978.0
Borkou,2018,20-24,222367.0
Borkou,2018,25-29,47013.0
Borkou,2018,30-34,1051640000.0
Borkou,2019,0-4,454052.0
Borkou,2019,5-9,236418.0
Borkou,2019,10-14,168738.0
Borkou,2019,15-19,308903.0
Borkou,2019,20-24,194784.0
Borkou,2019,25-29,182861.0
Borkou,2019,30-34,0.0
Borkou,2020,0-4,206508.0
Borkou,2020,5-9,46310.0
Borkou,2020,10-14,79090.0
Borkou,2020,15-19,103857.0
Borkou,2020,20-24,350457.0
Borkou,2020,25-29,307505.0
Borkou,2020,30-34,226915.0
Borkou,2021,0-4,57621.0
Borkou,2021,5-9,41440.0
Borkou,2021,10-14,375646.0
Borkou,2021,15-19,0.0
Borkou,2021,20-24,343478.0
Borkou,2021,25-29,291621.0
Borkou,2021,30-34,189934.0
Borkou,2022,0-4,37701.0
Borkou,2022,5-9,164178.0
Borkou,2022,10-14,278262.0
Borkou,2022,15-19,160817.0
Borkou,2022,20-24,375279.0
Borkou,2022,25-29,294589.0
Borkou,2022,30-34,207753.0
Borkou,2023,0-4,450398.0
Borkou,2023,5-9,0.0
Borkou,2023,10-14,0.0
Borkou,2023,15-19,428816.0
Borkou,2023,20-24,370738.0
Borkou,2023,25-29,195223.0
Borkou,2023,30-34,58323.0
Borkou,2024,0-4,365573.0
Borkou,2024,5-9,0.0
Borkou,2024,10-14,307363.0
Borkou,2024,15-19,76419.0
Borkou,2024,20-24,0.0
Borkou,2024,25-29,455819.0
Borkou,2024,30-34,0.0
Borkou,2025,0-4,307681.0
Borkou,2025,5-9,326726.0
Borkou,2025,10-14,465193.0
Borkou,2025,15-19,79742.0
Borkou,2025,20-24,337228.0
Borkou,2025,25-29,169212.0
Borkou,2025,30-34,198440.0
Borkou,2026,0-4,356978.0
Borkou,2026,5-9,496200.0
Borkou,2026,10-14,461071.0
Borkou,2026,15-19,40000.0
Borkou,2026,20-24,359165.0
Borkou,2026,25-29,133812.0
Borkou,2026,30-34,259679.0
Borkou,2027,0-4,376920.0
Borkou,2027,5-9,345112.0
Borkou,2027,10-14,214923.0
Borkou,2027,15-19,349508.0
Borkou,2027,20-24,48989.0
Borkou,2027,25-29,245110.0
Borkou,2027,30-34,0.0
Borkou,2028,0-4,177058.0
Borkou,2028,5-9,265555.0
Borkou,2028,10-14,166754.0
Borkou,2028,15-19,35825.0
Borkou,2028,20-24,403951.0
Borkou,2028,25-29,343028.0
Borkou,2028,30-34,71005.0
Borkou,2029,0-4,325256.0
Borkou,2029,5-9,459701.0
Borkou,2029,10-14,187690.0
Borkou,2029,15-19,48547.0
Borkou,2029,20-24,436027.0
Borkou,2029,25-29,752245000.0
Borkou,2029,30-34,169489.0
Borkou,2030,0-4,298875.0
Borkou,2030,5-9,0.0
Borkou,2030,10-14,324774.0
Borkou,2030,15-19,218261.0
Borkou,2030,20-24,43576.0
Borkou,2030,25-29,226780.0
Borkou,2030,30-34,164996.0
Borkou,2031,0-4,292436.0
Borkou,2031,5-9,308025.0
Borkou,2031,10-14,1993870000.0
Borkou,2031,15-19,207430.0
Borkou,2031,20-24,384889.0
Borkou,2031,25-29,461122.0
Borkou,2031,30-34,217063.0
Borkou,2032,0-4,210764.0
Borkou,2032,5-9,156958.0
Borkou,2032,10-14,440303.0
Borkou,2032,15-19,33416.0
Borkou,2032,20-24,251073.0
Borkou,2032,25-29,295909.0
Borkou,2032,30-34,354311.0
Borkou,2033,0-4,161455.0
Borkou,2033,5-9,56567.0
Borkou,2033,10-14,0.0
Borkou,2033,15-19,0.0
Borkou,2033,20-24,0.0
Borkou,2033,25-29,79842.0
Borkou,2033,30-34,308415.0
Borkou,2034,0-4,101127.0
Borkou,2034,5-9,280112.0
Borkou,2034,10-14,207398.0
Borkou,2034,15-19,387499.0
Borkou,2034,20-24,491971.0
Borkou,2034,25-29,445614.0
Borkou,2034,30-34,0.0
Borkou,2035,0-4,2191140000.0
Borkou,2035,5-9,0.0
Borkou,2035,10-14,485799.0
Borkou,2035,15-19,277427.0
Borkou,2035,20-24,17665.0
Borkou,2035,25-29,38711.0
Borkou,2035,30-34,255443.0
Borkou,2036,0-4,229605.0
Borkou,2036,5-9,0.0
Borkou,2036,10-14,0.0
Borkou,2036,15-19,59227.0
Borkou,2036,20-24,361636.0
Borkou,2036,25-29,264599.0
Borkou,2036,30-34,374529.0
Borkou,2037,0-4,30522.0
Borkou,2037,5-9,239059.0
Borkou,2037,10-14,280626.0
Borkou,2037,15-19,358326.0
Borkou,2037,20-24,0.0
Borkou,2037,25-29,140321.0
Borkou,2037,30-34,0.0
Borkou,2038,0-4,51187.0
Borkou,2038,5-9,459940.0
Borkou,2038,10-14,220048.0
Borkou,2038,15-19,31745.0
Borkou,2038,20-24,190254.0
Borkou,2038,25-29,23037.0
Borkou,2038,30-34,324854.0
Borkou,2039,0-4,400932.0
Borkou,2039,5-9,0.0
Borkou,2039,10-14,357251.0
Borkou,2039,15-19,1313750000.0
Borkou,2039,20-24,385843.0
Borkou,2039,25-29,111877.0
Borkou,2039,30-34,30988.0
Chari-Barguimi,1990,0-4,21208.0
Chari-Barguimi,1990,5-9,109633.0
Chari-Barguimi,1990,10-14,337259.0
Chari-Barguimi,1990,15-19,101847.0
Chari-Barguimi,1990,20-24,165350.0
Chari-Barguimi,1990,25-29,721460000.0
Chari-Barguimi,1990,30-34,58267.0
Chari-Barguimi,1991,0-4,194833.0
Chari-Barguimi,1991,5-9,47128.0
Chari-Barguimi,1991,10-14,45424.0
Chari-Barguimi,1991,15-19,0.0
Chari-Barguimi,1991,20-24,13312.0
Chari-Barguimi,1991,25-29,115240.0
Chari-Barguimi,1991,30-34,0.0
Chari-Barguimi,1992,0-4,0.0
Chari-Barguimi,1992,5-9,432304.0
Chari-Barguimi,1992,10-14,292067.0
Chari-Barguimi,1992,15-19,462573.0
Chari-Barguimi,1992,20-24,75572.0
Chari-Barguimi,1992,25-29,32240.0
Chari-Barguimi,1992,30-34,273356.0
Chari-Barguimi,1993,0-4,264411.0
Chari-Barguimi,1993,5-9,286854.0
Chari-Barguimi,1993,10-14,382986.0
Chari-Barguimi,1993,15-19,122925.0
Chari-Barguimi,1993,20-24,177038.0
Chari-Barguimi,1993,25-29,282449.0
Chari-Barguimi,1993,30-34,216487.0
Chari-Barguimi,1994,0-4,465394.0
Chari-Barguimi,1994,5-9,239990000.0
Chari-Barguimi,1994,10-14,436392.0
Chari-Barguimi,1994,15-19,0.0
Chari-Barguimi,1994,20-24,221740.0
Chari-Barguimi,1994,25-29,44806.0
Chari-Barguimi,1994,30-34,0.0
Chari-Barguimi,1995,0-4,97977.0
Chari-Barguimi,1995,5-9,272281.0
Chari-Barguimi,1995,10-14,138535.0
Chari-Barguimi,1995,15-19,273653.0
Chari-Barguimi,1995,20-24,304265.0
Chari-Barguimi,1995,25-29,271127.0
Chari-Barguimi,1995,30-34,128303.0
Chari-Barguimi,1996,0-4,152559.0
Chari-Barguimi,1996,5-9,61675000.0
Chari-Barguimi,1996,10-14,259979.0
Chari-Barguimi,1996,15-19,26444.0
Chari-Barguimi,1996,20-24,273149.0
Chari-Barguimi,1996,25-29,1532635000.0
Chari-Barguimi,1996,30-34,433027.0
Chari-Barguimi,1997,0-4,119979.0
Chari-Barguimi,1997,5-9,191432.0
Chari-Barguimi,1997,10-14,178055.0
Chari-Barguimi,1997,15-19,376539.0
Chari-Barguimi,1997,20-24,405283.0
Chari-Barguimi,1997,25-29,279292.0
Chari-Barguimi,1997,30-34,485066.0
Chari-Barguimi,1998,0-4,891825000.0
Chari-Barguimi,1998,5-9,281380.0
Chari-Barguimi,1998,10-14,18223.0
Chari-Barguimi,1998,15-19,67721.0
Chari-Barguimi,1998,20-24,286623.0
Chari-Barguimi,1998,25-29,256325.0
Chari-Barguimi,1998,30-34,235218.0
Chari-Barguimi,1999,0-4,116533.0
Chari-Barguimi,1999,5-9,0.0
Chari-Barguimi,1999,10-14,25767.0
Chari-Barguimi,1999,15-19,288612.0
Chari-Barguimi,1999,20-24,53535.0
Chari-Barguimi,1999,25-29,72983.0
Chari-Barguimi,1999,30-34,210474.0
Chari-Barguimi,2000,0-4,482728.0
Chari-Barguimi,2000,5-9,180561.0
Chari-Barguimi,2000,10-14,327580.0
Chari-Barguimi,2000,15-19,0.0
Chari-Barguimi,2000,20-24,0.0
Chari-Barguimi,2000,25-29,130311.0
Chari-Barguimi,2000,30-34,265295.0
Chari-Barguimi,2001,0-4,226685.0
Chari-Barguimi,2001,5-9,382537.0
Chari-Barguimi,2001,10-14,426192.0
Chari-Barguimi,2001,15-19,156459.0
Chari-Barguimi,2001,20-24,442927.0
Chari-Barguimi,2001,25-29,288998.0
Chari-Barguimi,2001,30-34,104876.0
Chari-Barguimi,2002,0-4,460791.0
Chari-Barguimi,2002,5-9,22706.0
Chari-Barguimi,2002,10-14,186063.0
Chari-Barguimi,2002,15-19,144771.0
Chari-Barguimi,2002,20-24,292649.0
Chari-Barguimi,2002,25-29,20994.0
Chari-Barguimi,2002,30-34,232124.0
Chari-Barguimi,2003,0-4,464244.0
Chari-Barguimi,2003,5-9,451654.0
Chari-Barguimi,2003,10-14,253177.0
Chari-Barguimi,2003,15-19,108757.0
Chari-Barguimi,2003,20-24,0.0
Chari-Barguimi,2003,25-29,436832.0
Chari-Barguimi,2003,30-34,463163.0
Chari-Barguimi,2004,0-4,45883.0
Chari-Barguimi,2004,5-9,392032.0
Chari-Barguimi,2004,10-14,96612.0
Chari-Barguimi,2004,15-19,70050.0
Chari-Barguimi,2004,20-24,13176.0
Chari-Barguimi,2004,25-29,102678.0
Chari-Barguimi,2004,30-34,312867.0
Chari-Barguimi,2005,0-4,389276.0
Chari-Barguimi,2005,5-9,103092.0
Chari-Barguimi,2005,10-14,15357.0
Chari-Barguimi,2005,15-19,300957.0
Chari-Barguimi,2005,20-24,194314.0
Chari-Barguimi,2005,25-29,182705.0
